hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
Kepler-1340,,6331.0,0.087,1.42,,3.801472313521471
HAT-P-45,,6330.0,0.4,1.32,,3.801403710017355
HAT-P-57,A8 V,6330.0,0.806,1.85,A,3.801403710017355
NGTS-9,F8 V,6330.0,0.389,1.38,F,3.801403710017355
HD 67087,F8 V,6330.0,0.54,1.55,F,3.801403710017355
WASP-76,F7,6329.0,0.654,1.76,F,3.8013350956745464
HD 106315,F5 V,6327.0,0.388,1.29,F,3.801197834459149
KELT-2 A,F8,6327.0,0.689,1.93,F,3.801197834459149
Kepler-1154,,6327.0,0.452,1.43,,3.801197834459149
Kepler-385,,6326.0,0.144,1.13,,3.801129187579704
OGLE-TR-211,,6325.0,0.267,1.64,,3.8010605298478555
Kepler-1640,,6324.0,0.47,1.43,,3.8009918612601714
Kepler-480,,6322.0,0.478,1.34,,3.8008544915035607
Kepler-1733,,6320.0,0.43,1.25,,3.800717078282385
Kepler-1569,,6319.0,0.335,1.4,,3.8006483553639883
HD 1666,F7 V,6317.0,0.73,1.93,F,3.800510876894368
HD 89839,F7 V,6314.0,0.375,1.29,F,3.8003045775561985
WASP-12,,6313.0,0.536,1.66,,3.800235789327354
Kepler-1705,,6312.0,0.354,1.26,,3.800166990201364
TOI-1107,F6 V,6311.0,0.671,1.81,F,3.8000981801747757
Kepler-465,,6310.0,0.338,1.29,,3.8000293592441343
Kepler-1778,,6310.0,0.098,1.09,,3.8000293592441343
HD 152843,G0,6310.0,0.45,1.43,G,3.8000293592441343
HD 148156,G0/2 V,6308.0,0.25,1.21,G,3.799891684656865
Kepler-1660 A,F7 V,6305.24,0.668,1.49,F,3.7997016220259816
Kepler-21,F6 IV,6305.0,0.715,1.9,F,3.7996850909091004
HAT-P-30,F7,6304.0,0.312,1.31,F,3.7996162044814987
HD 221287,F7 V,6304.0,0.22,1.14,F,3.7996162044814987
KELT-3,,6304.0,0.608,1.47,,3.7996162044814987
Kepler-1163,,6302.0,0.396,1.35,,3.799478398837981
K2-290,,6302.0,0.42,1.51,,3.799478398837981
WASP-31,,6302.0,0.336,1.25,,3.799478398837981
WASP-15,F7,6300.0,0.49,1.48,F,3.7993405494535817
HATS-35,,6300.0,0.465,1.43,,3.7993405494535817
TOI-5153,F8 V,6300.0,0.464,1.4,F,3.7993405494535817
HD 169830,F8 V,6300.0,0.662,1.94,F,3.7993405494535817
Kepler-1373,,6299.0,0.774,1.33,,3.7992716083498728
Kepler-1571,,6297.0,0.194,1.39,,3.7991336933020627
Kepler-5,,6297.0,0.652,1.79,,3.7991336933020627
Kepler-1602,,6296.0,0.201,1.36,,3.799064719351008
Kepler-1275,,6296.0,0.315,1.36,,3.799064719351008
TOI-677,F8,6295.0,0.312,1.28,F,3.7989957344438814
K2-61,,6293.0,-0.015,1.36,,3.7988577317474856
Kepler-1666,,6293.0,0.268,1.15,,3.7988577317474856
Kepler-1434,,6291.0,0.862,2.04,,3.7987196851850062
HD 89744,F7 V,6291.0,0.796,2.13,F,3.7987196851850062
HD 132563,F8,6289.0,0.374,1.3,F,3.7985815947285477
Kepler-1443,,6289.0,0.561,1.27,,3.7985815947285477
Kepler-168,,6282.0,0.361,1.11,,3.798097932062486
HAT-P-50,F5,6280.0,0.631,1.7,F,3.797959643737196
TOI-2154,,6280.0,0.435,1.4,,3.797959643737196
WASP-92,F7,6280.0,0.275,1.34,F,3.797959643737196
TOI-2803 A,,6280.0,0.336,1.25,,3.797959643737196
KELT-12,,6279.0,0.892,2.37,,3.797890483058349
HATS-65,,6277.0,0.377,1.31,,3.7977521286507105
Kepler-1920,,6277.0,0.1,1.16,,3.7977521286507105
TOI-1333,,6274.0,0.713,1.93,,3.7975445143617264
HD 142,F7V,6273.0,0.474,1.41,F,3.7974752875373343
HD 211403,F7 V,6273.0,0.364,1.21,F,3.7974752875373343
Kepler-410 A,,6273.0,0.435,1.35,,3.7974752875373343
KELT-6,F8,6272.0,0.555,1.53,F,3.797406049676382
HD 202772 A,,6272.0,0.971,2.59,,3.797406049676382
TOI-907,,6272.0,0.759,2.06,,3.797406049676382
WASP-138,,6272.0,0.435,1.36,,3.797406049676382
Kepler-596,,6267.0,0.314,1.32,,3.797059694699971
Kepler-1616,,6266.0,0.638,1.34,,3.7969903905456865
TOI-4603,F,6264.0,1.017,2.74,F,3.796851749049887
Kepler-1070,,6261.0,0.285,1.32,,3.7966437037851164
TOI-892,,6261.0,0.404,1.39,,3.7966437037851164
Kepler-1531,,6260.0,0.304,1.27,,3.7965743332104296
Kepler-820,,6260.0,0.689,1.36,,3.7965743332104296
K2-237,,6257.0,0.285,1.26,,3.7963661549775214
K2-46,,6256.0,0.413,1.29,,3.7962967400517917
Kepler-1633,,6256.0,0.646,1.32,,3.7962967400517917
