hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
WASP-96,G8,5540.0,0.032,1.05,G,3.74350976472843
GJ 3021,G6 V,5540.0,-0.18,0.9,G,3.74350976472843
Kepler-941,,5539.0,-0.206,0.86,,3.7434313651466837
Kepler-723,,5539.0,-0.172,0.89,,3.7434313651466837
Kepler-98,,5539.0,-0.133,1.11,,3.7434313651466837
Kepler-1585,,5538.0,-0.434,0.91,,3.743352951409556
Kepler-406,,5538.0,0.048,1.07,,3.743352951409556
HD 210277,G0 V,5538.0,-0.032,1.07,G,3.743352951409556
K2-261,,5537.0,0.372,1.67,,3.7432745235119333
Kepler-414,,5536.0,-0.169,0.95,,3.7431960814487013
Kepler-548,,5535.0,-0.201,0.9,,3.7431176252147416
Kepler-856,,5535.0,-0.022,0.93,,3.7431176252147416
HD 159868,G5 V,5534.0,0.556,2.13,G,3.7430391548049333
Kepler-538,,5534.0,-0.179,0.87,,3.7430391548049333
HD 159868,G5 V,5534.0,0.555,2.13,G,3.7430391548049333
TOI-2260,G V,5534.0,-0.199,0.94,G,3.7430391548049333
HD 100777,G8 V,5533.0,0.021,1.04,G,3.7429606702141522
Kepler-1036,,5533.0,-0.202,0.89,,3.7429606702141522
Kepler-938,,5533.0,-0.174,0.89,,3.7429606702141522
Kepler-1471,,5533.0,-0.199,1.17,,3.7429606702141522
K2-340,,5532.0,-0.002,1.13,,3.742882171437273
K2-293,,5532.0,-0.18,0.95,,3.742882171437273
EPIC 220674823,G5 V,5532.0,-0.119,0.99,G,3.742882171437273
Kepler-1808,,5530.0,-0.062,0.89,,3.7427251313046983
Kepler-1917,,5530.0,-0.296,0.79,,3.7427251313046983
HIP 109600,G5,5530.0,-0.079,0.97,G,3.7427251313046983
Kepler-1438,,5530.0,0.123,0.96,,3.7427251313046983
K2-289,,5529.0,-0.505,1.03,,3.7426465899387362
K2-248,,5528.0,-0.189,0.92,,3.742568034366142
Kepler-150,,5528.0,-0.161,0.91,,3.742568034366142
Kepler-1564,,5528.0,-0.135,0.9,,3.742568034366142
Kepler-571,,5527.0,-0.223,0.9,,3.7424894645817752
Kepler-453,,5527.0,-0.221,0.83,,3.7424894645817752
HD 219666,G5 V,5527.0,-0.028,1.03,G,3.7424894645817752
Kepler-1342,,5527.0,-0.261,0.9,,3.7424894645817752
Kepler-251,,5526.0,-0.172,0.89,,3.7424108805804925
Kepler-319,,5526.0,-0.181,0.9,,3.7424108805804925
Kepler-172,,5526.0,-0.032,1.08,,3.7424108805804925
Kepler-542,,5526.0,-0.122,0.9,,3.7424108805804925
K2-178,,5525.0,-0.284,0.89,,3.7423322823571485
Kepler-536,,5524.0,-0.214,0.89,,3.7422536699065936
HATS-13,,5523.0,-0.321,0.89,,3.742175043223677
Kepler-583,,5523.0,-0.101,0.91,,3.742175043223677
K2-207,,5522.0,-0.173,0.93,,3.742096402303244
Kepler-1028,,5522.0,-0.245,0.87,,3.742096402303244
Kepler-651,,5522.0,-0.253,0.87,,3.742096402303244
HD 163607,G5,5522.0,0.42,1.76,G,3.742096402303244
Kepler-783,,5521.0,-0.231,0.89,,3.7420177471401384
HD 1397,G5 III/IV,5521.0,0.66,2.34,G,3.7420177471401384
K2-291,,5520.0,-0.166,0.9,,3.741939077729199
Kepler-678,,5520.0,0.449,0.91,,3.741939077729199
Kepler-77,G5 V,5520.0,-0.046,0.99,G,3.741939077729199
KOI-1257,G5 V,5520.0,0.029,1.13,G,3.741939077729199
HAT-P-25,G5,5519.0,-0.246,0.92,G,3.7418603940652635
HIP 91258,G5 V,5519.0,-0.222,0.89,G,3.7418603940652635
K2-189,,5519.0,-0.239,0.87,,3.7418603940652635
Kepler-1160,,5519.0,-0.343,0.89,,3.7418603940652635
K2-189,,5519.0,-0.219,0.87,,3.7418603940652635
Kepler-1018,,5518.0,-0.082,0.88,,3.7417816961431667
Kepler-689,,5518.0,-0.153,0.88,,3.7417816961431667
WASP-50,,5518.0,-0.198,0.84,,3.7417816961431667
Kepler-1198,,5517.0,-0.232,0.9,,3.74170298395774
Kepler-1815,,5516.0,-0.03,0.97,,3.7416242575038123
Kepler-1891,,5516.0,-0.231,0.83,,3.7416242575038123
Kepler-523,,5515.0,-0.28,0.86,,3.7415455167762093
Kepler-1490,,5515.0,-0.319,0.87,,3.7415455167762093
Kepler-15,,5515.0,-0.087,0.99,,3.7415455167762093
Kepler-1919,,5513.0,-0.274,0.82,,3.741387992479269
Kepler-697,,5513.0,-0.025,0.88,,3.741387992479269
HD 63935,,5513.0,-0.115,0.96,,3.741387992479269
Kepler-209,,5513.0,-0.129,0.94,,3.741387992479269
HD 111232,G8 V,5512.0,-0.161,0.9,G,3.7413092088995694
Kepler-1336,,5512.0,0.421,1.3,,3.7413092088995694
K2-403,G4,5511.0,-0.171,0.89,G,3.741230411025471
Kepler-896,,5510.0,0.481,0.8,,3.741151598851785
WASP-83,G8,5510.0,-0.05,1.05,G,3.741151598851785
TOI-1420,,5510.0,-0.152,0.92,,3.741151598851785
Kepler-1073,,5509.0,-0.01,1.12,,3.7410727723733213
HD 106270,G5 IV,5509.0,0.756,2.66,G,3.7410727723733213
HD 43197,G8 V,5508.0,-0.137,1.0,G,3.740993931584886
HD 43197,G8 V,5508.0,-0.034,1.0,G,3.740993931584886
Kepler-1870,,5508.0,-0.226,0.84,,3.740993931584886
Kepler-947,,5508.0,0.142,0.87,,3.740993931584886
K2-201,,5507.0,-0.276,0.88,,3.7409150764812824
HD 143361,G6 V,5507.0,-0.092,0.92,G,3.7409150764812824
Kepler-1469,,5507.0,-0.274,0.89,,3.7409150764812824
Kepler-802,,5507.0,-0.226,0.9,,3.7409150764812824
Kepler-1722,,5506.0,-0.17,0.79,,3.7408362070573116
Kepler-85,,5505.2,-0.212,0.88,,3.740773101203974
Kepler-1946,,5505.0,-0.279,0.87,,3.7407573233077707
HD 290327,G8 V,5505.0,-0.14,0.95,G,3.7407573233077707
Kepler-1282,,5504.0,-0.183,0.89,,3.740678425227455
K2-158,,5503.0,-0.163,0.95,,3.7405995128111567
K2-168,,5502.7,-0.176,0.83,,3.7405758362899713
Kepler-218,,5502.0,0.009,1.06,,3.7405205860536648
Kepler-399,,5502.0,-0.418,0.68,,3.7405205860536648
Kepler-368,,5502.0,0.562,2.02,,3.7405205860536648
Kepler-1257,,5502.0,-0.136,0.87,,3.7405205860536648
Kepler-1679,,5501.0,-0.201,0.87,,3.740441644949766
K2-280,,5500.0,0.14,1.28,,3.7403626894942437
WASP-163,,5500.0,-0.076,1.01,,3.7403626894942437
HAT-P-37,,5500.0,-0.208,0.88,,3.7403626894942437
K2-210,,5500.0,-0.249,0.89,,3.7403626894942437
K2-60,G4 V,5500.0,0.282,1.12,G,3.7403626894942437
Kepler-1123,,5500.0,-0.295,0.9,,3.7403626894942437
Kepler-1644,,5499.0,-0.215,0.86,,3.7402837196818792
TOI-1269,,5499.0,-0.22,0.85,,3.7402837196818792
K2-282,,5499.0,-0.215,1.0,,3.7402837196818792
Kepler-30,,5498.0,-0.237,0.95,,3.7402047355074495
Kepler-468,,5498.0,-0.286,0.87,,3.7402047355074495
HATS-28,G,5498.0,-0.157,0.92,G,3.7402047355074495
TOI-1249,,5497.0,-0.101,0.98,,3.7401257369657306
Kepler-317,,5497.0,-0.208,0.94,,3.7401257369657306
TOI-1669,,5497.0,-0.036,1.06,,3.7401257369657306
Kepler-570,,5496.0,-0.296,0.9,,3.740046724051494
70 Vir,G5V,5495.0,0.451,1.89,G,3.7399676967595092
Kepler-20,,5495.0,-0.189,0.96,,3.7399676967595092
Kepler-1994,,5495.0,-0.042,0.96,,3.7399676967595092
Kepler-20,,5495.0,-0.165,0.92,,3.7399676967595092
HATS-46,,5495.0,-0.23,0.85,,3.7399676967595092
HD 111232,G8 V,5494.0,-0.161,0.9,G,3.739888655084543
Kepler-1023,,5494.0,-0.193,0.89,,3.739888655084543
HD 20003,G8 V,5494.0,-0.143,0.92,G,3.739888655084543
Kepler-447,G8 V,5493.0,-0.19,1.05,G,3.739809599021359
Kepler-684,,5493.0,0.209,0.86,,3.739809599021359
Kepler-1810,,5492.0,-0.158,1.02,,3.7397305285647175
HD 168443,G5,5491.0,0.382,1.71,G,3.7396514437093766
Kepler-1513,G V,5491.0,-0.129,0.95,G,3.7396514437093766
K2-202,,5491.0,-0.335,0.91,,3.7396514437093766
Kepler-1001,,5491.0,-0.279,0.88,,3.7396514437093766
Kepler-652,,5490.0,-0.27,0.88,,3.739572344450092
Kepler-1322,,5488.0,-0.101,0.87,,3.7394141026986953
Kepler-192,,5487.0,-0.094,0.94,,3.7393349601960795
Kepler-1295,,5486.0,-0.283,0.89,,3.739255803268511
Kepler-743,,5486.0,-0.176,0.85,,3.739255803268511
GJ 2030,,5485.0,0.612,2.24,,3.73917663191073
WASP-39,,5485.0,-0.199,0.92,,3.73917663191073
TOI-5678,G7 V,5485.0,-0.131,0.94,G,3.73917663191073
Kepler-594,,5485.0,-0.193,0.87,,3.73917663191073
Kepler-717,,5485.0,0.604,0.85,,3.73917663191073
Kepler-1685,,5484.0,-0.245,0.84,,3.739097446117475
K2-86,,5482.0,-0.386,0.76,,3.7389390312034796
K2-183,,5482.0,-0.132,0.87,,3.7389390312034796
K2-183,,5482.0,-0.138,0.87,,3.7389390312034796
Kepler-936,,5482.0,-0.19,0.89,,3.7389390312034796
K2-265,,5481.0,-0.197,0.92,,3.7388598020722004
K2-372,,5479.0,-0.122,0.92,,3.73870130043471
Kepler-1392,,5479.0,-0.231,0.85,,3.73870130043471
Kepler-192,,5479.0,-0.094,1.01,,3.73870130043471
Kepler-962,,5478.0,-0.261,0.86,,3.7386220279179425
Kepler-1991,,5478.0,-0.108,1.05,,3.7386220279179425
Kepler-1530,,5477.0,-0.311,0.88,,3.7385427409287852
Kepler-1747,,5477.0,-0.205,0.86,,3.7385427409287852
Kepler-882,,5476.0,-0.273,0.87,,3.7384634394619525
Kepler-407,,5476.0,-0.039,1.01,,3.7384634394619525
Kepler-407,,5476.0,-0.049,1.01,,3.7384634394619525
K2-105,K1,5475.0,-0.195,0.97,K,3.738384123512156
WASP-104,G8,5475.0,-0.19,0.96,G,3.738384123512156
Kepler-1821,,5475.0,-0.124,0.88,,3.738384123512156
Kepler-796,,5475.0,0.572,1.09,,3.738384123512156
Kepler-1634,,5474.0,-0.265,0.89,,3.738304793074105
HD 167677,G5 V,5474.0,-0.132,0.95,G,3.738304793074105
Kepler-1674,,5473.91,-0.206,0.88,,3.7382976526238503
Kepler-1695,,5473.19,-0.104,0.99,,3.7382405247950334
Kepler-1017,,5473.0,-0.161,0.87,,3.7382254481425052
WASP-98,G7,5473.0,-0.358,0.74,G,3.7382254481425052
Kepler-1237,,5472.0,-0.258,0.9,,3.73814608871206
Kepler-939,,5471.0,0.391,0.85,,3.738066714777469
Kepler-160,,5471.0,0.004,1.12,,3.738066714777469
Kepler-1232,,5471.0,-0.359,0.89,,3.738066714777469
Gaia-1,,5470.0,-0.159,0.95,,3.737987326333431
Kepler-1151,,5470.0,-0.342,0.85,,3.737987326333431
Kepler-1153,,5470.0,-0.284,0.88,,3.737987326333431
HD 154345,G9,5468.0,-0.219,0.85,G,3.7378285058957847
Kepler-775,,5468.0,-0.267,0.84,,3.7378285058957847
Kepler-1951,,5468.0,0.501,1.31,,3.7378285058957847
KOI-142,G6 V,5466.0,-0.223,0.9,G,3.7376696273566417
KOI-142,G6 V,5466.0,-0.192,0.9,G,3.7376696273566417
KOI-142,G6 V,5466.0,-0.165,0.9,G,3.7376696273566417
HD 45364,K0 V,5466.0,-0.196,0.89,K,3.7376696273566417
TOI-1347,,5464.0,-0.26,0.83,,3.737510690673476
Kepler-605,,5462.0,-0.248,0.88,,3.7373516958037145
Kepler-905,,5461.0,-0.215,0.86,,3.7372721765355434
Kepler-963,G,5461.0,-0.225,0.87,G,3.7372721765355434
HIP 65407,K0,5460.0,-0.186,0.95,K,3.7371926427047373
Kepler-151,,5460.0,-0.334,0.83,,3.7371926427047373
Kepler-424,,5460.0,-0.15,0.94,,3.7371926427047373
TOI-1444,,5460.0,-0.176,0.91,,3.7371926427047373
KIC 5479689,,5459.1,-0.201,0.89,,3.7371210498015497
HD 156279,G6,5458.24,-0.146,0.97,G,3.7370526277765492
TOI-1279,,5457.0,-0.243,0.84,,3.736953953783146
Kepler-879,G,5456.75,0.018,1.02,G,3.7369340571169234
K2-157,,5456.0,-0.21,0.88,,3.7368743616484226
Kepler-851,,5455.0,-0.273,0.85,,3.7367947549243605
NGTS-30,,5455.0,-0.187,0.91,,3.7367947549243605
Kepler-1950,,5455.0,-0.223,0.85,,3.7367947549243605
Kepler-1313,,5453.0,-0.325,0.85,,3.7366354976868212
HAT-P-51,G7,5453.0,-0.102,0.99,G,3.7366354976868212
Kepler-1175,,5453.0,-0.34,0.86,,3.7366354976868212
HD 156279,G6,5453.0,-0.146,0.95,G,3.7366354976868212
Kepler-726,,5452.0,-0.319,0.85,,3.736555847162636
K2-382,,5452.0,-0.28,0.81,,3.736555847162636
WASP-6,,5450.0,-0.297,0.73,,3.7363965022766426
TOI-763,G,5450.0,-0.154,0.9,G,3.7363965022766426
Kepler-1130,,5450.0,-0.26,0.84,,3.7363965022766426
HD 63765,G9 V,5449.0,-0.256,0.83,G,3.736316807904109
Kepler-1454,,5448.0,-0.255,0.86,,3.736237098904729
Kepler-554,,5447.0,-0.118,0.92,,3.736157375273132
Kepler-1752,,5446.0,-0.398,0.82,,3.736077637003946
Kepler-1166,,5446.0,-0.256,0.86,,3.736077637003946
Kepler-1627,,5445.0,-0.303,0.84,,3.735997884091794
Kepler-487,,5444.0,-0.173,0.88,,3.735918116531297
Kepler-629,,5444.0,-0.283,0.84,,3.735918116531297
Kepler-623,,5443.0,-0.318,0.86,,3.735838334317074
LTT 9779,G7 V,5443.0,-0.149,0.95,G,3.735838334317074
Kepler-1534,,5442.0,-0.233,0.86,,3.735758537443739
Kepler-1784,,5442.0,-0.121,0.97,,3.735758537443739
HD 83443,K0 V,5442.0,-0.104,0.94,K,3.735758537443739
K2-80,,5441.0,-0.432,0.87,,3.7356787259059048
HD 147018,G9 V,5441.0,-0.148,0.94,G,3.7356787259059048
Kepler-727,,5441.0,-0.317,0.86,,3.7356787259059048
HD 171238,G8 V,5440.0,-0.09,1.01,G,3.73559889969818
WASP-183,G9,5440.0,-0.209,0.89,G,3.73559889969818
CoRoT-18,G9 V,5440.0,-0.17,0.88,G,3.73559889969818
Kepler-692,,5440.0,-0.233,0.86,,3.73559889969818
Kepler-865,,5440.0,-0.298,0.89,,3.73559889969818
K2-319,,5440.0,-0.237,0.9,,3.73559889969818
K2-187,,5438.0,-0.21,0.83,,3.7354392032514814
K2-187,,5438.0,-0.196,0.83,,3.7354392032514814
Kepler-740,,5438.0,-0.123,0.87,,3.7354392032514814
Kepler-1192,,5438.0,-0.128,0.83,,3.7354392032514814
WASP-148,,5437.0,-0.156,0.91,,3.735359333001711
Kepler-724,,5437.0,-0.223,0.86,,3.735359333001711
HD 102843,K0 V,5436.0,-0.138,0.96,K,3.7352794480604565
Kepler-1027,,5436.0,0.011,0.82,,3.7352794480604565
Kepler-1789,,5436.0,-0.231,0.89,,3.7352794480604565
Kepler-85,,5436.0,-0.212,0.89,,3.7352794480604565
Kepler-985,,5434.0,-0.283,0.85,,3.735119634081872
Kepler-222,,5433.0,-0.338,0.87,,3.7350397050337207
TOI-4515,G8/G9,5433.0,-0.236,0.86,G,3.7350397050337207
K2-11,G8,5433.0,-0.31,5.15,G,3.7350397050337207
Kepler-1693,,5432.34,-0.218,0.88,,3.734986943802428
Kepler-1021,,5431.0,-0.288,0.86,,3.7348798027926273
Kepler-255,,5431.0,-0.183,0.86,,3.7348798027926273
Kepler-971,,5431.0,-0.299,0.85,,3.7348798027926273
Kepler-439,,5431.0,-0.236,0.87,,3.7348798027926273
Kepler-1940,,5431.0,-0.377,0.72,,3.7348798027926273
EPIC 249893012,G8 IV/V,5430.0,0.356,1.71,G,3.734799829588847
HD 21693,G8 V,5430.0,-0.208,0.91,G,3.734799829588847
XO-5,G8 V,5430.0,-0.06,1.13,G,3.734799829588847
Kepler-1683,,5429.0,-0.198,0.9,,3.73471984165568
DS Tuc A,G6 V,5428.0,-0.14,0.96,G,3.7346398389876994
K2-176,,5428.0,-0.348,0.86,,3.7346398389876994
Kepler-82,,5428.0,-0.185,0.95,,3.7346398389876994
TOI-1630,,5427.0,-0.268,0.83,,3.734559821579476
HD 191939,,5427.0,-0.171,0.93,,3.734559821579476
Kepler-964,,5427.0,-0.306,0.84,,3.734559821579476
HD 165155,G8 V,5426.0,-0.155,0.95,G,3.7344797894255772
K2-159,,5425.0,-0.296,0.83,,3.734399742520567
K2-226,,5424.0,-0.276,0.91,,3.734319680859007
K2-336,,5424.0,-0.345,0.8,,3.734319680859007
Kepler-1827,,5423.0,0.187,1.4,,3.734239604435455
Kepler-487,,5422.0,-0.173,0.89,,3.734159513244467
Kepler-1606,,5422.0,-0.171,0.86,,3.734159513244467
Kepler-1843,,5422.0,0.394,1.78,,3.734159513244467
HD 142022 A,G9 IV-V,5421.0,0.004,1.04,G,3.7340794072805945
Kepler-409,,5421.0,-0.202,0.9,,3.7340794072805945
Kepler-958,,5421.0,-0.282,0.86,,3.7340794072805945
Kepler-1865,,5420.0,-0.329,0.87,,3.733999286538387
WASP-44,G8 V,5420.0,-0.198,0.91,G,3.733999286538387
Kepler-1860,,5420.0,-0.181,0.87,,3.733999286538387
Kepler-702,,5419.0,-0.159,0.86,,3.733919151012391
Kepler-746,,5418.0,-0.172,0.93,,3.7338390006971496
Kepler-733,,5418.0,-0.298,0.86,,3.7338390006971496
Kepler-917,,5418.0,0.764,0.76,,3.7338390006971496
HATS-62,,5416.0,-0.173,0.93,,3.733678655677088
Kepler-1402,,5416.0,0.448,0.87,,3.733678655677088
Kepler-953,,5416.0,-0.119,0.99,,3.733678655677088
Kepler-1011,,5416.0,-0.376,0.88,,3.733678655677088
Kepler-166,,5413.0,-0.385,0.74,,3.7334380270910614
K2-37,G3 V,5413.0,-0.469,0.85,G,3.7334380270910614
K2-37,G3 V,5413.0,-0.408,0.85,G,3.7334380270910614
K2-58,,5413.0,-0.412,0.86,,3.7334380270910614
K2-58,,5413.0,-0.398,0.86,,3.7334380270910614
Kepler-783,,5411.49,-0.231,0.87,,3.7333168602421978
Kepler-285,,5411.0,-0.279,0.81,,3.733277533932582
Kepler-1507,,5410.0,-0.324,0.85,,3.7331972651065692
Kepler-944,,5409.0,-0.078,0.83,,3.7331169814420644
HD 93351,,5408.0,-0.194,0.91,,3.7330366829335797
Kepler-1108,,5406.0,-0.258,0.84,,3.7328760413627067
HD 42012,K0,5405.0,-0.27,0.82,K,3.7327956982893293
Kepler-153,,5404.0,-0.446,0.89,,3.732715340349993
Kepler-1690,,5404.0,-0.243,0.86,,3.732715340349993
TOI-157,G9 IV,5404.0,0.02,1.17,G,3.732715340349993
Kepler-920,,5403.0,-0.183,0.85,,3.732634967539196
Kepler-679,,5403.0,-0.348,0.84,,3.732634967539196
Kepler-1780,,5403.0,-0.217,0.87,,3.732634967539196
HATS-4,G,5403.0,-0.187,0.93,G,3.732634967539196
Kepler-1130,,5403.0,-0.26,0.81,,3.732634967539196
Kepler-949,,5403.0,-0.442,0.86,,3.732634967539196
Kepler-837,,5403.0,-0.271,0.81,,3.732634967539196
Kepler-82,,5401.0,-0.225,0.9,,3.7324741772811936
HD 20794,G8 V,5401.0,-0.163,0.92,G,3.7324741772811936
Kepler-1961,,5401.0,-0.276,0.78,,3.7324741772811936
Kepler-82,,5401.0,-0.185,0.9,,3.7324741772811936
HD 20794,G8,5401.0,-0.163,0.92,G,3.7324741772811936
WASP-64,G7,5400.0,-0.022,1.06,G,3.7323937598229686
Kepler-27,,5400.0,-0.329,0.59,,3.7323937598229686
WASP-4,G8,5400.0,-0.179,0.89,G,3.7323937598229686
WASP-110,G9,5400.0,-0.229,0.86,G,3.7323937598229686
HD 30669,G9 V,5400.0,-0.146,0.91,G,3.7323937598229686
HAT-P-63,,5400.0,-0.146,0.97,,3.7323937598229686
HD 216770,G9 V CN+1,5399.0,-0.1,0.93,G,3.7323133274712426
XO-2 S,,5399.0,-0.123,1.0,,3.7323133274712426
XO-2 S,,5399.0,-0.123,1.02,,3.7323133274712426
K2-272,,5397.0,-0.302,0.83,,3.7321524180652137
TOI-132,G8 V,5397.0,-0.222,0.9,G,3.7321524180652137
TOI-1194,,5394.0,-0.151,0.96,,3.7319109421168726
HD 164922,G9 V,5393.43,-0.14,1.0,G,3.731865046504124
BD-10 3166,K0 V,5393.0,-0.191,0.91,K,3.7318304202881625
Kepler-1504,,5393.0,0.468,0.81,,3.7318304202881625
HD 175607,G6 V,5392.0,-0.271,0.7,G,3.7317498835272636
Kepler-495,,5392.0,-0.237,1.09,,3.7317498835272636
HD 88133,G5,5392.0,0.497,2.2,G,3.7317498835272636
HD 164922,G9 V,5390.0,-0.149,0.95,G,3.7315887651867388
Kepler-1162,,5390.0,-0.322,0.84,,3.7315887651867388
Kepler-322,,5388.0,-0.288,0.89,,3.731427587050948
TOI-1288,G V,5388.0,-0.155,0.96,G,3.731427587050948
Kepler-1014,,5388.0,-0.337,0.84,,3.731427587050948
HD 73267,K0 V,5387.0,-0.106,0.91,K,3.731346975545955
K2-397,G7,5387.0,-0.145,0.97,G,3.731346975545955
HD 130322,K0 V,5387.0,-0.235,0.85,K,3.731346975545955
Kepler-751,,5387.0,-0.264,0.84,,3.731346975545955
HD 181234,G8 IV,5386.0,-0.099,1.06,G,3.731266349075492
HD 69830,K0V,5385.0,-0.22,0.89,K,3.7311857076340003
Kepler-1610,,5383.0,-0.483,0.87,,3.731024379815688
Kepler-1992,,5383.0,-0.009,0.84,,3.731024379815688
Kepler-1892,,5383.0,-0.301,0.76,,3.731024379815688
Kepler-638,,5382.0,0.532,0.93,,3.7309436934277356
Kepler-149,,5381.0,-0.119,0.95,,3.730862992046494
Kepler-1482,,5381.0,-0.083,0.84,,3.730862992046494
HATS-34,,5380.0,-0.14,0.98,,3.7307822756663893
Kepler-29,,5378.0,-0.297,0.73,,3.730620797887283
Kepler-314,,5378.0,-0.226,0.95,,3.730620797887283
K2-370,G8,5377.0,-0.127,0.97,G,3.730540036477119
K2-80,,5377.0,-0.432,0.84,,3.730540036477119
Kepler-389,,5376.0,-0.516,0.79,,3.7304592600457687
Kepler-1001,,5376.0,-0.279,0.84,,3.7304592600457687
K2-180,,5375.5,-0.45,0.69,,3.7304188661954023
KELT-11,G8/K0 IV,5375.0,0.744,2.69,G,3.730378468587643
HD 154088,K0 IV-V,5374.0,-0.131,0.95,K,3.7302976620971497
Kepler-1114,,5374.0,-0.293,0.83,,3.7302976620971497
Kepler-752,,5373.0,-0.125,0.83,,3.730216840568694
Kepler-589,,5372.0,-0.347,0.92,,3.7301360039966776
WASP-47,G9,5371.0,0.024,1.16,G,3.7300551523755
HD 7199,K1 IV,5371.0,-0.155,0.97,K,3.7300551523755
Kepler-1985,,5370.0,-0.155,0.97,,3.7299742856995555
K2-139,K0 V,5370.0,-0.299,0.88,K,3.7299742856995555
K2-27,,5368.0,-0.274,0.86,,3.729812507160936
K2-263,G9 V,5368.0,-0.26,0.85,G,3.729812507160936
K2-388,G8,5367.0,-0.212,0.9,G,3.7297315952870354
Kepler-307,,5367.0,-0.122,0.81,,3.7297315952870354
Kepler-725,,5363.0,-0.313,0.84,,3.729407796963068
HD 106515 A,G5 V,5362.0,-0.164,0.91,G,3.7293268096468606
HD 219077,G8 V+,5362.0,0.425,1.91,G,3.7293268096468606
Kepler-1371,,5361.0,-0.198,0.83,,3.7292458072253067
Kepler-549,,5360.0,-0.306,0.84,,3.72916478969277
HD 190228,G5 IV,5360.0,0.697,2.59,G,3.72916478969277
TOI-2368,,5360.0,-0.275,0.85,,3.72916478969277
Kepler-233,,5360.0,-0.328,0.76,,3.72916478969277
Kepler-1296,,5359.0,0.486,0.83,,3.729083757043612
TOI-1855,,5359.0,-0.095,1.04,,3.729083757043612
HD 51608,G7 V,5358.0,-0.244,0.92,G,3.7290027092721902
K2-29,G7 V,5358.0,-0.453,0.86,G,3.7290027092721902
Kepler-37,,5357.0,-0.322,0.79,,3.7289216463728594
K2-138,G8 V,5356.3,-0.287,0.86,G,3.7288648933391975
Kepler-673,,5355.0,-0.344,0.84,,3.7287594751678745
Kepler-1642,,5355.0,-0.405,0.84,,3.7287594751678745
Kepler-1281,,5353.0,-0.292,0.83,,3.728597243383432
HD 149806,K0V,5352.05,-0.245,0.89,K,3.7285201620509967
Kepler-1355,,5352.0,-0.329,0.83,,3.7285161047597666
Kepler-668,,5352.0,-0.396,0.82,,3.7285161047597666
Kepler-1721,,5351.0,-0.407,0.8,,3.728434950974255
TOI-1173,G9,5350.0,-0.169,0.93,G,3.7283537820212285
Kepler-955,,5350.0,-0.409,0.84,,3.7283537820212285
Kepler-166,,5350.0,-0.385,0.83,,3.7283537820212285
Kepler-1727,,5349.0,-0.251,0.82,,3.728272597895017
Kepler-1635,,5347.0,-0.28,0.85,,3.728110184100341
Kepler-495,,5346.0,-0.237,0.83,,3.7280289544205183
Kepler-933,,5346.0,-0.211,0.84,,3.7280289544205183
HATS-14,,5346.0,-0.173,0.93,,3.7280289544205183
Kepler-18,,5345.0,-0.031,1.11,,3.7279477095447966
Kepler-1081,,5345.0,-0.306,0.84,,3.7279477095447966
Kepler-701,,5343.0,-0.276,0.84,,3.727785174182906
Kepler-1800,,5343.0,-0.188,2.51,,3.727785174182906
TOI-561,G9 V,5342.0,-0.247,0.84,G,3.727703883685354
HD 77338,K0 IV,5341.0,-0.26,0.97,K,3.727622577969137
XO-2 N,K0 V,5340.0,-0.088,0.99,K,3.727541257028556
14 Her,K0 V,5338.0,-0.153,0.93,K,3.727378569451489
HD 38801,K0,5338.0,0.659,2.03,K,3.727378569451489
Kepler-1236,,5337.0,-0.379,0.82,,3.7272972028035873
Kepler-1038,,5335.0,-0.362,0.83,,3.727134423760489
K2-408,G7,5335.0,-0.33,0.78,G,3.727134423760489
Kepler-578,,5334.0,-0.337,0.83,,3.727053011353857
Kepler-181,,5333.0,-0.379,0.75,,3.7269715836828765
Kepler-862,,5333.0,-0.103,0.84,,3.7269715836828765
Kepler-1467,,5332.0,-0.351,0.82,,3.726890140741822
HAT-P-17,,5332.0,-0.273,0.84,,3.726890140741822
Kepler-932,,5331.0,-0.322,0.84,,3.726808682524964
Kepler-67,G9 V,5331.0,-0.376,0.78,G,3.726808682524964
Kepler-1090,,5330.0,-0.146,1.01,,3.7267272090265724
HAT-P-38,G5,5330.0,-0.208,0.92,G,3.7267272090265724
Kepler-195,,5329.0,-0.367,0.78,,3.726645720240912
HD 37605,K0,5329.0,-0.22,0.91,K,3.726645720240912
Kepler-1006,,5328.0,-0.4,0.74,,3.7265642161622448
TOI-1062,G9 V,5328.0,-0.274,0.84,G,3.7265642161622448
Kepler-667,,5327.0,0.557,0.87,,3.7264826967848297
Kepler-738,,5327.0,-0.213,0.82,,3.7264826967848297
HATS-37 A,,5326.0,-0.256,0.88,,3.7264011621029223
Kepler-734,,5326.0,0.374,0.78,,3.7264011621029223
Kepler-1549,,5324.0,-0.273,0.84,,3.7262380468026377
Kepler-841,,5324.0,-0.362,0.81,,3.7262380468026377
Kepler-1374,,5323.0,-0.368,0.81,,3.726156466172755
Kepler-550,,5322.0,-0.384,0.83,,3.72607487021537
Kepler-632,,5322.0,-0.292,0.84,,3.72607487021537
K2-19,G9 V,5322.0,-0.305,0.82,G,3.72607487021537
Kepler-760,,5322.0,-0.28,0.85,,3.72607487021537
K2-19,G9 V,5322.0,-0.292,0.82,G,3.72607487021537
NGTS-25,K0 V,5321.0,-0.292,0.86,K,3.7259932589247224
