pl_name,hostname,ra,dec,planet_mass_earth,planet_radius_earth,orbital_period_days,equilibrium_temp_k,discoverymethod,disc_year,stellar_type,distance_parsecs
K2-187 e,K2-187,132.524,23.192,4.270,1.900,13.61,698,Transit,2018,,330.92
K2-272 b,K2-272,132.621,17.542,9.960,3.130,14.45,747,Transit,2018,,423.07
K2-345 b,K2-345,132.708,21.789,5.100,2.110,10.37,437,Transit,2021,,162.41
K2-376 b,K2-376,132.719,25.038,3.660,1.736,5.78,,Transit,2022,G1,161.61
K2-331 b,K2-331,132.738,13.170,3.860,1.790,9.40,909,Transit,2021,,211.43
K2-331 c,K2-331,132.738,13.170,7.850,2.720,23.00,673,Transit,2021,,211.43
NGC 2682 YBP 1194 b,NGC 2682 YBP 1194,132.753,11.815,101.706,12.300,6.96,,Radial Velocity,2014,G5 V,872.92
NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,132.753,11.887,127.132,14.000,5.12,,Radial Velocity,2014,G5 V,914.22
NGC 2682 Sand 978 b,NGC 2682 Sand 978,132.823,11.756,692.869,13.300,511.21,,Radial Velocity,2017,K4 III,821.92
NGC 2682 YBP 401 b,NGC 2682 YBP 401,132.829,11.671,146.202,14.300,4.09,,Radial Velocity,2016,F9 V,830.82
NGC 2682 Sand 1429 b,NGC 2682 Sand 1429,133.015,11.690,572.091,13.400,77.48,683,Radial Velocity,2024,F9.5 V,852.79
HD 75784 b,HD 75784,133.099,13.233,317.830,13.800,341.20,,Radial Velocity,2014,G5,85.43
HD 75784 c,HD 75784,133.099,13.233,1792.561,12.800,7900.00,,Radial Velocity,2018,G5,85.43
K2-342 b,K2-342,133.122,21.239,4.780,2.030,11.56,861,Transit,2021,,208.36
55 Cnc b,55 Cnc,133.147,28.330,263.978,13.900,14.65,700,Radial Velocity,1996,K0 IV-V,12.59
55 Cnc c,55 Cnc,133.147,28.330,54.474,8.510,44.40,,Radial Velocity,2004,G8V,12.59
55 Cnc d,55 Cnc,133.147,28.330,1232.493,13.000,5574.20,,Radial Velocity,2002,G8 V,12.59
55 Cnc e,55 Cnc,133.147,28.330,7.990,1.875,0.74,1958,Radial Velocity,2004,G8 V,12.59
55 Cnc f,55 Cnc,133.147,28.330,44.812,7.590,259.88,,Radial Velocity,2007,G8V,12.59
WASP-65 b,WASP-65,133.324,8.523,492.620,12.464,2.31,1480,Transit,2013,G6,273.70
TOI-615 b,TOI-615,133.409,-40.544,138.255,18.977,4.66,1666,Transit,2023,F2 V,360.41
HD 75898 b,HD 75898,133.461,33.057,810.462,13.200,422.82,,Radial Velocity,2007,F8 V,78.05
HD 75898 c,HD 75898,133.461,33.057,2698.363,12.600,6717.00,,Radial Velocity,2024,F8 V,78.05
HD 76700 b,HD 76700,133.478,-66.800,66.744,9.600,3.97,,Radial Velocity,2002,G6 V,60.88
K2-124 b,K2-124,133.641,23.133,8.750,2.900,6.41,442,Transit,2017,,140.39
K2-268 b,K2-268,133.709,11.848,2.860,1.500,2.15,1136,Transit,2018,,327.78
K2-268 c,K2-268,133.709,11.848,7.700,2.690,9.33,696,Transit,2018,,327.78
K2-268 d,K2-268,133.709,11.848,2.830,1.490,4.53,888,Transit,2021,,327.78
K2-268 e,K2-268,133.709,11.848,2.330,1.330,6.13,801,Transit,2021,,327.78
K2-268 f,K2-268,133.709,11.848,5.600,2.230,26.27,492,Transit,2021,,327.78
GJ 328 b,GJ 328,133.782,1.542,797.749,13.300,3771.00,,Radial Velocity,2013,M0.0,20.53
GJ 328 c,GJ 328,133.782,1.542,21.400,4.910,241.80,,Radial Velocity,2023,M0.0,20.53
K2-358 b,K2-358,133.808,18.950,7.650,2.680,11.25,888,Transit,2021,,480.31
HD 76920 b,HD 76920,133.820,-67.265,994.803,13.100,415.89,,Radial Velocity,2017,K1 III,184.03
K2-336 b,K2-336,133.838,16.794,1.980,1.220,21.20,569,Transit,2021,,239.29
K2-117 b,K2-117,133.856,10.469,4.780,2.030,1.29,868,Transit,2017,M1.0 V,101.63
K2-117 c,K2-117,133.856,10.469,4.900,2.060,5.44,537,Transit,2017,M1.0 V,101.63
TOI-1883 b,TOI-1883,134.089,-12.931,27.200,5.650,4.51,525,Transit,2024,M,115.37
K2-343 b,K2-343,134.202,21.503,3.360,1.650,2.79,653,Transit,2021,,166.17
K2-343 c,K2-343,134.202,21.503,4.740,2.020,7.68,465,Transit,2021,,166.17
K2-123 b,K2-123,134.444,21.453,8.050,2.760,30.95,338,Transit,2017,,161.56
G 9-40 b,G 9-40,134.719,21.075,4.000,1.900,5.75,441,Transit,2019,M2.5 V,27.93
TOI-2669 b,TOI-2669,134.723,-13.313,193.875,19.728,6.20,1226,Transit,2022,,393.44
TOI-2368 b,TOI-2368,134.958,-48.488,206.588,10.839,5.18,1000,Transit,2024,,210.92
K2-419 A b,K2-419 A,135.019,13.274,196.000,10.550,20.36,377,Transit,2024,,268.69
HD 77338 b,HD 77338,135.302,-25.528,15.900,4.120,5.74,,Radial Velocity,2012,K0 IV,45.94
K2-186 b,K2-186,135.335,18.825,10.200,3.172,41.47,,Transit,2018,,330.74
HAT-P-42 b,HAT-P-42,135.344,6.097,331.801,14.348,4.64,1428,Transit,2012,,405.24
WASP-170 b,WASP-170,135.416,-20.720,508.528,12.285,2.35,1422,Transit,2018,,305.60
TOI-2545 b,TOI-2545,135.546,-3.421,8.000,2.750,7.99,1023,Transit,2022,,107.12
K2-332 b,K2-332,135.883,14.250,5.480,2.200,17.71,266,Transit,2021,,123.20
K2-344 b,K2-344,136.361,21.669,3.150,1.590,3.36,722,Transit,2021,,75.17
K2-334 b,K2-334,136.489,16.326,27.200,5.650,5.11,1380,Transit,2021,,371.82
EPIC 211945201 b,EPIC 211945201,136.574,19.402,27.000,5.760,19.49,817,Transit,2018,G0,181.69
HD 77946 b,HD 77946,136.778,46.672,10.900,2.896,6.53,1129,Transit,2024,F5,99.45
K2-333 b,K2-333,136.789,15.206,31.600,6.180,14.76,826,Transit,2021,,343.99
K2-415 b,K2-415,137.202,11.862,7.500,1.015,4.02,412,Transit,2023,M5 V,21.82
K2-374 b,K2-374,137.379,16.356,3.160,1.593,4.52,,Transit,2022,G3,359.44
K2-374 c,K2-374,137.379,16.356,5.530,2.213,16.43,,Transit,2022,G3,359.44
HD 233604 b,HD 233604,137.454,53.568,2089.644,12.700,192.00,,Radial Velocity,2013,K5,847.06
HD 79181 b,HD 79181,137.994,-19.747,203.410,14.100,273.10,,Radial Velocity,2021,G8 III,103.34
HD 80913 b,HD 80913,138.102,-81.768,7505.200,12.000,10839.83,,Radial Velocity,2022,,61.36
GJ 338 B b,GJ 338 B,138.592,52.684,10.600,3.250,24.42,391,Radial Velocity,2020,M0 V,6.33
HD 79498 b,HD 79498,138.789,23.375,425.892,13.600,1807.00,,Radial Velocity,2011,G5,48.95
TOI-3807 b,TOI-3807,139.113,69.074,330.542,18.495,2.90,1646,Transit,2023,,421.75
HD 80883 b,HD 80883,139.933,-59.478,1748.056,12.800,6383.78,,Radial Velocity,2022,,34.60
HATS-52 b,HATS-52,140.088,-31.269,711.939,15.491,1.37,1834,Transit,2017,,555.13
WASP-13 b,WASP-13,140.103,33.882,114.419,13.675,4.35,1531,Transit,2009,,227.54
HD 80653 b,HD 80653,140.339,14.368,5.720,1.613,0.72,2463,Transit,2020,G2,109.86
K2-312 c,HD 80653,140.339,14.368,1719.452,12.800,921.20,,Radial Velocity,2023,G2,109.86
K2-352 b,K2-352,140.445,18.470,2.450,1.370,3.67,1160,Transit,2021,,176.05
K2-352 c,K2-352,140.445,18.470,4.350,1.920,8.24,885,Transit,2021,,176.05
K2-352 d,K2-352,140.445,18.470,5.600,2.230,14.87,727,Transit,2021,,176.05
WASP-142 b,WASP-142,140.506,-23.946,266.977,17.150,2.05,2000,Transit,2016,F8,730.93
HD 80606 b,HD 80606,140.657,50.604,1392.095,11.994,111.44,405,Radial Velocity,2001,G5,66.47
HD 80869 b,HD 80869,140.791,33.905,1609.801,12.800,1752.92,203,Radial Velocity,2021,G5,85.40
HD 81040 b,HD 81040,140.946,20.365,2393.248,12.600,1004.70,,Radial Velocity,2005,G2/G3,34.43
NGTS-9 b,NGTS-9,141.921,-19.348,921.707,11.994,4.44,1448,Transit,2019,F8 V,609.13
HD 81688 b,HD 81688,142.167,45.601,525.688,13.500,183.93,,Radial Velocity,2007,K0 III-IV,85.72
TOI-620 b,TOI-620,142.173,-12.167,13.600,3.760,5.10,604,Transit,2022,M2.5 V,33.02
TOI-1789 b,TOI-1789,142.743,26.540,222.480,16.141,3.21,1927,Transit,2021,F,229.07
HD 82943 b,HD 82943,143.711,-12.130,534.250,13.500,441.47,,Radial Velocity,2003,G2/3V,27.59
HD 82943 c,HD 82943,143.711,-12.130,622.603,13.400,220.08,,Radial Velocity,2003,G2/3V,27.59
TOI-2977 b,TOI-2977,143.927,-60.357,533.952,13.159,2.35,1544,Transit,2023,,
HD 82886 b,HD 82886,143.938,34.781,740.544,13.300,705.00,,Radial Velocity,2011,G0,127.06
GJ 357 b,GJ 357,144.007,-21.665,1.840,1.200,3.93,518,Transit,2019,M2.5 V,9.44
GJ 357 c,GJ 357,144.007,-21.665,3.400,1.660,9.13,401,Radial Velocity,2019,M2.5 V,9.44
GJ 357 d,GJ 357,144.007,-21.665,6.100,2.340,55.66,220,Radial Velocity,2019,M2.5 V,9.44
TOI-677 b,TOI-677,144.119,-50.463,392.838,13.115,11.24,1252,Transit,2020,F8,141.81
HD 81817 b,HD 81817,144.272,81.326,7668.564,12.000,1021.20,,Radial Velocity,2020,K3 III,269.13
HD 81817 c,HD 81817,144.272,81.326,7185.782,12.000,622.98,,Radial Velocity,2022,K3 III,269.13
HATS-64 b,HATS-64,144.288,-29.800,305.117,18.820,4.91,1793,Transit,2018,,1080.15
HD 83443 b,HD 83443,144.299,-43.273,127.767,14.100,2.99,,Radial Velocity,2002,K0 V,40.90
HD 83443 c,HD 83443,144.299,-43.273,476.743,13.600,8241.00,,Radial Velocity,2022,K0 V,40.90
TOI-3364 b,TOI-3364,144.538,-49.335,530.773,12.229,5.88,1264,Transit,2023,,277.90
TOI-1898 b,TOI-1898,144.555,23.547,129.000,9.396,45.52,675,Transit,2024,,79.67
WASP-166 b,WASP-166,144.875,-20.982,32.101,7.062,5.44,1270,Transit,2019,F9 V,114.17
HATS-26 b,HATS-26,144.927,-28.586,206.590,19.616,3.30,1918,Transit,2016,F,861.84
TOI-833 b,TOI-833,145.645,-62.476,2.150,1.270,1.04,1118,Transit,2022,,41.72
GJ 367 b,GJ 367,146.121,-45.779,0.633,0.699,0.32,1365,Transit,2021,M1.0 V,9.41
GJ 367 c,GJ 367,146.121,-45.779,4.130,1.860,11.53,,Radial Velocity,2023,M1.0 V,9.41
GJ 367 d,GJ 367,146.121,-45.779,6.030,2.330,34.37,,Radial Velocity,2023,M1.0 V,9.41
TOI-2000 b,TOI-2000,146.397,-66.687,11.000,2.700,3.10,1488,Transit,2023,,175.71
TOI-2000 c,TOI-2000,146.397,-66.687,81.700,8.140,9.13,1038,Transit,2023,,175.71
TOI-1994 b,TOI-1994,147.175,-51.757,7024.008,13.675,4.03,2290,Transit,2024,,515.60
HD 85390 b,HD 85390,147.511,-49.791,31.465,6.160,799.52,,Radial Velocity,2009,K1.5 V,33.52
MASCARA-4 b,MASCARA-4,147.580,-66.114,985.273,17.150,2.82,2100,Transit,2020,A7 V,170.70
TOI-561 b,TOI-561,148.185,6.216,2.000,1.425,0.45,2310,Transit,2020,G9 V,85.80
TOI-561 c,TOI-561,148.185,6.216,5.390,2.910,10.78,800,Transit,2020,G9 V,85.80
TOI-561 d,TOI-561,148.185,6.216,13.200,2.820,25.71,598,Transit,2020,G9 V,85.80
TOI-561 e,TOI-561,148.185,6.216,12.600,2.550,77.03,415,Transit,2020,G9 V,85.80
mu Leo b,mu Leo,148.190,26.007,762.800,13.300,357.80,,Radial Velocity,2014,K2 III,32.61
Wolf 327 b,Wolf 327,148.378,35.571,2.530,1.240,0.57,996,Transit,2024,M2.5 V,28.53
WASP-19 b,WASP-19,148.417,-45.659,366.774,15.861,0.79,2113,Transit,2009,G8 V,268.33
KELT-3 b,KELT-3,148.643,40.388,616.590,17.486,2.70,1816,Transit,2013,,210.25
HD 86065 b,HD 86065,148.926,-18.107,2877.301,12.500,25775.79,,Radial Velocity,2022,,40.37
HD 86081 b,HD 86081,149.024,-3.808,470.388,13.600,2.14,,Radial Velocity,2006,F8,103.94
HIP 48714 b,HIP 48714,149.033,62.786,22.900,5.110,17.82,,Radial Velocity,2020,M0.5 Ve,10.53
HD 86226 b,HD 86226,149.124,-24.099,143.024,14.300,1628.00,176,Radial Velocity,2009,G1 V,45.68
HD 86226 c,HD 86226,149.124,-24.099,7.250,2.160,3.98,1311,Transit,2020,G1 V,45.68
HD 86264 b,HD 86264,149.241,-15.895,3117.261,12.500,1488.79,,Radial Velocity,2009,F7 V,67.81
HATS-77 b,HATS-77,149.824,-27.393,436.696,13.058,3.09,828,Transit,2021,,436.18
TOI-1775 b,TOI-1775,150.115,39.458,96.000,8.047,10.24,708,Transit,2024,,149.23
BD-08 2823 b,BD-08 2823,150.197,-9.517,12.713,3.610,5.60,,Radial Velocity,2009,K3 V,41.33
BD-08 2823 c,BD-08 2823,150.197,-9.517,104.000,12.500,237.60,,Radial Velocity,2009,K3 V,41.33
HD 86728 b,HD 86728,150.250,31.922,9.430,3.030,31.15,,Radial Velocity,2025,G1V,14.92
HD 86950 b,HD 86950,150.407,-17.333,1144.188,13.000,1270.00,,Radial Velocity,2016,K1 III,209.84
HAT-P-66 b,HAT-P-66,150.573,53.951,248.861,17.822,2.97,1896,Transit,2016,G0,935.46
Gl 378 b,Gl 378,150.587,48.082,13.020,3.660,3.82,830,Radial Velocity,2019,M1,14.95
G 196-3 b,G 196-3,151.088,50.386,8263.539,12.000,,1670,Imaging,2024,,21.79
TOI-2096 b,TOI-2096,151.619,74.827,2.080,1.243,3.12,445,Transit,2023,M4,48.48
TOI-2096 c,TOI-2096,151.619,74.827,4.320,1.914,6.39,349,Transit,2023,M4,48.48
TOI-5126 b,TOI-5126,151.660,18.634,20.200,4.740,5.46,1442,Transit,2023,F V,160.41
TOI-5126 c,TOI-5126,151.660,18.634,14.200,3.860,17.90,971,Transit,2023,F V,160.41
HD 87646 b,HD 87646,151.670,17.895,3941.092,12.400,13.48,,Radial Velocity,2016,G,73.58
Gaia22dkvL b,Gaia22dkvL,151.769,-66.181,187.837,14.100,,,Microlensing,2024,,1270.00
TOI-1777.01,TOI-1777,151.807,46.115,5.670,2.246,14.65,580,Transit,2024,,79.77
TOI-1768.01,TOI-1768,152.103,55.540,11.800,3.453,7.34,1566,Transit,2024,,157.60
TOI-5388.01,TOI-5388,152.177,35.548,4.250,1.894,2.60,601,Transit,2024,,18.52
HD 87883 b,HD 87883,152.179,34.242,1719.134,12.800,3309.22,,Radial Velocity,2009,K0,18.29
TOI-1235 b,TOI-1235,152.218,69.277,6.690,1.690,3.45,775,Transit,2020,M0.5 V,39.63
HD 88072 b,HD 88072,152.347,2.371,2511.798,12.600,18538.79,,Radial Velocity,2022,,35.91
HD 88133 b,HD 88133,152.532,18.186,324.187,13.800,3.42,,Radial Velocity,2004,G5,73.61
UCAC4 328-061594 b,UCAC4 328-061594,152.699,-24.453,6674.397,12.100,,,Imaging,2024,DC,39.91
BD-14 3065 b,BD-14 3065 A,153.670,-15.643,3932.000,21.590,4.29,2001,Transit,2024,,589.42
GJ 1132 b,GJ 1132,153.709,-47.155,1.837,1.192,1.63,584,Transit,2015,M4.5 V,12.61
GJ 1132 c,GJ 1132,153.709,-47.155,2.640,1.430,8.93,300,Radial Velocity,2018,M4.5 V,12.61
HD 88986 b,HD 88986,154.117,28.682,17.200,2.490,146.05,460,Radial Velocity,2023,G2 V,33.27
BD+20 2457 b,BD+20 2457,154.187,19.891,6807.630,12.100,379.63,,Radial Velocity,2009,K2 II,1539.71
BD+20 2457 c,BD+20 2457,154.187,19.891,3963.170,12.400,621.99,,Radial Velocity,2009,K2 II,1539.71
HATS-38 b,HATS-38,154.271,-25.276,23.519,6.882,4.38,1294,Transit,2020,,343.53
TYC 1422-614-1 b,TYC 1422-614-1,154.278,19.558,794.500,13.300,198.40,,Radial Velocity,2014,,672.41
TYC 1422-614-1 c,TYC 1422-614-1,154.278,19.558,3178.000,12.500,559.30,,Radial Velocity,2014,,672.41
K2-400 b,K2-400,154.511,3.697,1.670,1.163,3.87,,Transit,2022,M3,62.38
HD 89307 b,HD 89307,154.587,12.621,642.013,13.400,2166.00,,Radial Velocity,2009,G0 V,32.01
LTT 3780 b,LTT 3780,154.645,-11.718,2.460,1.325,0.77,903,Transit,2020,M3.5 V,21.98
LTT 3780 c,LTT 3780,154.645,-11.718,8.040,2.390,12.25,359,Transit,2020,M3.5 V,21.98
HD 89345 b,HD 89345,154.671,10.129,34.961,7.398,11.81,1089,Transit,2018,G5,132.35
WASP-43 b,WASP-43,154.908,-9.806,565.714,10.424,0.81,1427,Transit,2011,K7 V,86.75
K2-401 b,K2-401,154.988,3.955,5.740,2.262,6.29,,Transit,2022,K7,200.73
gam1 Leo b,gam1 Leo,154.993,19.841,2790.430,12.500,428.50,,Radial Velocity,2009,K1 IIIb Fe-0.5,39.89
HD 89839 b,HD 89839,155.169,-53.664,1592.320,12.900,3441.00,,Radial Velocity,2023,F7 V,57.31
HD 89744 b,HD 89744,155.543,41.229,2653.880,12.600,256.78,,Radial Velocity,1999,F7 V,38.64
TOI-1107 b,TOI-1107,155.608,-82.219,1064.725,14.572,4.08,1728,Transit,2022,F6 V,281.31
HAT-P-22 b,HAT-P-22,155.681,50.129,785.040,12.890,3.21,1463,Transit,2010,G5 V,81.77
24 Sex b,24 Sex,155.868,-0.902,632.460,13.400,452.80,,Radial Velocity,2010,K0 IV,72.07
24 Sex c,24 Sex,155.868,-0.902,273.320,13.900,883.00,,Radial Velocity,2010,K0 IV,72.07
TOI-815 b,TOI-815,155.872,-43.835,7.600,2.940,11.20,686,Transit,2024,K3 V,59.71
TOI-815 c,TOI-815,155.872,-43.835,23.500,2.620,34.98,469,Transit,2024,K3 V,59.71
HD 90156 b,HD 90156,155.980,-29.645,17.980,4.430,49.77,,Radial Velocity,2009,G5V,21.95
TOI-3362 b,TOI-3362,155.984,-56.843,1598.359,12.801,18.10,688,Transit,2021,,366.99
K2-321 b,K2-321,156.405,2.514,4.860,2.051,2.30,830,Transit,2020,,77.69
K2-322 b,K2-322,156.623,4.764,4.350,1.920,8.21,635,Transit,2020,,123.42
TOI-1231 b,TOI-1231,156.747,-52.468,15.400,3.650,24.25,330,Transit,2021,M3 V,27.62
TOI-1772.01,TOI-1772,156.838,34.391,8.780,2.905,8.05,878,Transit,2024,,97.76
TOI-837 b,TOI-837,157.037,-64.505,120.457,9.169,8.33,995,Transit,2020,F9/G0,142.49
KELT-4 A b,KELT-4 A,157.063,25.573,286.683,19.044,2.99,1823,Transit,2016,,218.05
TOI-1260 b,TOI-1260,157.144,65.854,8.560,2.410,3.13,871,Transit,2021,K6 V,73.60
TOI-1260 c,TOI-1260,157.144,65.854,13.200,2.760,7.49,651,Transit,2021,K6 V,73.60
TOI-1260 d,TOI-1260,157.144,65.854,11.840,3.120,16.61,499,Transit,2022,K6 V,73.60
GJ 393 b,GJ 393,157.229,0.838,1.710,1.170,7.03,485,Radial Velocity,2021,M2.0 V,7.03
Qatar-8 b,Qatar-8,157.412,70.527,117.915,14.404,3.72,1457,Transit,2019,G0 V,281.50
K2-324 b,K2-324,157.622,6.864,6.480,2.430,3.26,707,Transit,2020,,136.67
K2-266 b,K2-266,157.936,0.937,11.268,3.300,0.66,1515,Transit,2018,,77.56
K2-266 c,K2-266,157.936,0.937,0.290,0.705,7.81,664,Transit,2018,,77.56
K2-266 d,K2-266,157.936,0.937,8.900,2.930,14.70,538,Transit,2018,,77.56
K2-266 e,K2-266,157.936,0.937,14.300,2.730,19.48,490,Transit,2018,,77.56
WASP-66 b,WASP-66,158.225,-34.990,746.900,15.693,4.09,1570,Transit,2012,,500.26
TOI-669 b,TOI-669,158.901,-5.181,10.000,2.586,3.95,1125,Transit,2023,,142.87
TOI-784 b,HD 307842,159.341,-63.656,9.670,1.930,2.80,1256,Transit,2023,G,64.60
EPIC 248847494 b,EPIC 248847494,159.389,11.843,4131.790,12.442,3650.00,183,Transit,2018,,551.89
TOI-733 b,TOI-733,159.409,-40.888,5.720,1.992,4.89,1056,Transit,2023,G,75.21
K2-323 b,K2-323,159.421,6.286,5.060,2.100,24.93,318,Transit,2020,,118.32
OGLE-TR-211 b,OGLE-TR-211,160.060,-62.456,327.351,15.244,3.68,1686,Transit,2007,,1515.26
TOI-663 b,TOI-663,160.066,-8.511,4.450,2.270,2.60,674,Transit,2024,M1 V,64.23
TOI-663 c,TOI-663,160.066,-8.511,3.650,2.260,4.70,553,Transit,2024,M1 V,64.23
TOI-663 d,TOI-663,160.066,-8.511,5.200,1.920,7.10,482,Transit,2024,M1 V,64.23
K2-404 b,K2-404,160.325,12.191,6.940,2.530,13.12,,Transit,2022,M1,121.63
WASP-127 b,WASP-127,160.559,-3.835,52.347,14.695,4.18,1400,Transit,2016,,159.51
K2-239 b,K2-239,160.594,4.441,1.370,1.100,5.24,502,Transit,2018,M3.0 V,31.09
K2-239 c,K2-239,160.594,4.441,0.972,1.000,7.78,427,Transit,2018,M3.0 V,31.09
K2-239 d,K2-239,160.594,4.441,1.370,1.100,10.12,399,Transit,2018,M3.0 V,31.09
WASP-104 b,WASP-104,160.602,7.435,404.263,12.745,1.76,1516,Transit,2014,G8,185.93
HD 92788 b,HD 92788,160.702,-2.185,1195.041,13.000,325.80,,Radial Velocity,2000,G6 V,34.65
HD 92788 c,HD 92788,160.702,-2.185,1166.436,13.000,11611.30,,Radial Velocity,2019,G6 V,34.65
Qatar-9 b,Qatar-9,160.748,60.964,378.218,11.310,1.54,1134,Transit,2019,K5 V,213.77
TOI-2524 b,TOI-2524,160.887,-1.913,203.410,11.209,7.19,1100,Transit,2023,,438.84
HD 93083 b,HD 93083,161.087,-33.578,117.590,13.400,143.58,,Radial Velocity,2005,K3 V,28.52
K2-402 b,K2-402,161.452,6.419,7.650,2.678,17.28,,Transit,2022,G2,523.06
HD 93385 b,HD 93385,161.563,-41.465,4.200,1.880,7.34,,Radial Velocity,2021,G2/G3 V,43.35
HD 93385 c,HD 93385,161.563,-41.465,7.100,2.560,13.18,,Radial Velocity,2021,G2/G3 V,43.35
HD 93385 d,HD 93385,161.563,-41.465,8.700,2.890,45.85,,Radial Velocity,2021,G2/G3 V,43.35
HD 93351 b,HD 93351,161.678,-1.689,3.496,1.690,2.46,,Radial Velocity,2022,,56.16
HD 93351 c,HD 93351,161.678,-1.689,4154.017,12.300,14010.29,,Radial Velocity,2022,,56.16
KELT-11 b,KELT-11,161.707,-9.399,54.349,15.132,4.74,1712,Transit,2017,G8/K0 IV,99.16
K2-398 b,K2-398,161.735,1.937,5.790,2.274,6.39,,Transit,2022,G2,606.99
K2-398 c,K2-398,161.735,1.937,22.800,5.098,18.79,,Transit,2022,G2,606.99
TOI-5398 b,TOI-5398,161.880,36.329,58.700,10.300,10.59,947,Transit,2022,G V,130.86
TOI-5398 c,TOI-5398,161.880,36.329,11.800,3.520,4.77,1242,Transit,2023,G V,130.86
KELT-24 b,KELT-24,161.909,71.656,1458.832,12.711,5.55,1391,Transit,2019,F7,96.52
Luhman 16 b,Luhman 16 A,162.328,-53.319,9344.155,11.900,9697.00,,Imaging,2017,,
OGLE-TR-132 b,OGLE-TR-132,162.644,-61.957,375.020,13.450,1.69,2013,Transit,2004,F5 V,2012.62
HD 93963 A b,HD 93963 A,162.777,25.641,2.800,1.470,1.04,1842,Transit,2022,G0 V,82.34
HD 93963 A c,HD 93963 A,162.777,25.641,18.400,3.120,3.65,1212,Transit,2022,G0 V,82.34
K2-261 b,K2-261,163.032,0.493,68.969,9.270,11.63,1036,Transit,2018,,213.28
OGLE-TR-113 b,OGLE-TR-113,163.101,-61.447,400.449,12.251,1.43,1342,Transit,2004,K4 V,566.46
K2-320 b,K2-320,163.252,5.306,7.370,2.620,2.00,698,Transit,2020,,108.74
OGLE-TR-111 b,OGLE-TR-111,163.324,-61.406,174.799,11.422,4.01,1019,Transit,2004,K2 V,1068.33
TOI-2981 b,TOI-2981,163.487,-25.525,638.000,13.400,3.60,1358,Transit,2024,,527.79
WASP-183 b,WASP-183,163.789,-0.737,159.551,16.477,4.11,1111,Transit,2019,G9,325.38
HD 94771 b,HD 94771,163.975,-35.115,169.000,14.200,2164.00,,Radial Velocity,2023,G3/G5 V,57.78
TOI-771 b,TOI-771,164.114,-72.985,2.610,1.422,2.33,527,Transit,2024,,25.28
K2-403 b,K2-403,164.189,9.674,24.600,5.333,33.59,949,Transit,2022,G4,246.60
HD 95086 b,HD 95086,164.262,-68.667,1589.000,12.900,,1000,Imaging,2013,A8 III,86.23
HD 94834 b,HD 94834,164.313,24.143,400.466,13.700,1576.00,,Radial Velocity,2018,K0,98.16
WASP-193 b,WASP-193,164.349,-29.997,44.178,16.410,6.25,1254,Transit,2023,F9,362.09
K2-405 b,K2-405,164.376,12.536,18.900,4.569,3.44,969,Transit,2022,K0,197.23
TOI-674 b,TOI-674,164.587,-36.858,23.600,5.250,1.98,635,Transit,2021,M2 V,46.09
BD-10 3166 b,BD-10 3166,164.619,-10.770,187.520,14.100,3.49,,Radial Velocity,2000,K0 V,84.41
GJ 3634 b,GJ 3634,164.643,-31.144,8.400,2.830,2.65,,Radial Velocity,2010,M2.5,20.38
HD 95089 b,HD 95089,164.699,1.729,400.466,13.700,464.40,,Radial Velocity,2009,G8/K0 IV,136.96
HD 95089 c,HD 95089,164.699,1.729,1096.514,13.100,1785.00,,Radial Velocity,2018,G8/K0 IV,136.96
TOI-654.01,TOI-654,164.725,-5.548,6.220,2.371,1.53,749,Transit,2024,,57.76
TOI-1776 b,TOI-1776,164.777,40.984,1.400,1.216,2.80,1269,Transit,2024,,44.65
HD 95338 b,HD 95338,164.856,-56.624,42.440,3.890,55.09,385,Radial Velocity,2020,K0.5 V,36.99
47 UMa b,47 UMa,164.865,40.430,804.080,13.200,1078.00,,Radial Velocity,1996,G0 V,13.80
47 UMa c,47 UMa,164.865,40.430,171.621,14.200,2391.00,,Radial Velocity,2001,G1 V,13.80
47 UMa d,47 UMa,164.865,40.430,521.220,13.500,14002.00,,Radial Velocity,2009,G0V,13.80
HD 95127 b,HD 95127,164.896,43.814,3378.533,12.400,482.00,,Radial Velocity,2015,K0,676.58
TOI-4377 b,TOI-4377,164.932,-82.221,304.162,15.110,4.38,1162,Transit,2023,,455.82
KPS-1 b,KPS-1,165.167,64.964,346.435,11.545,1.71,1459,Transit,2018,K1 V,262.71
TOI-3023 b,TOI-3023,165.316,-72.357,197.054,16.432,3.90,1596,Transit,2023,,389.92
2MASS J11011926-7732383 b,2MASS J11011926-7732383,165.330,-77.544,8899.195,11.900,,2677,Imaging,2024,,
WASP-34 b,WASP-34,165.399,-23.861,177.985,11.209,4.32,1250,Transit,2010,,132.10
LP 791-18 b,LP 791-18,165.690,-16.406,1.940,1.212,0.95,564,Transit,2019,M(6.1 +/- 0.7) V,26.49
LP 791-18 c,LP 791-18,165.690,-16.406,7.100,2.438,4.99,324,Transit,2019,M(6.1 +/- 0.7) V,26.49
LP 791-18 d,LP 791-18,165.690,-16.406,0.900,1.032,2.75,396,Transit,2023,M(6.1 +/- 0.7) V,26.49
GJ 411 b,GJ 411,165.834,35.972,2.690,1.450,12.94,350,Radial Velocity,2019,M1.5 V,5.68
HD 95735 c,GJ 411,165.834,35.972,13.600,3.760,2946.00,,Radial Velocity,2021,M1.5 V,5.68
