pl_name,hostname,ra,dec,planet_mass_earth,planet_radius_earth,orbital_period_days,equilibrium_temp_k,discoverymethod,disc_year,stellar_type,distance_parsecs
Kepler-1696 b,Kepler-1696,295.576,42.023,8.290,2.810,65.94,454,Transit,2020,,1506.36
Kepler-860 b,Kepler-860,295.577,46.255,10.600,3.240,5.10,1050,Transit,2016,,1056.36
Kepler-252 b,Kepler-252,295.579,44.546,2.040,1.230,6.67,587,Transit,2014,M0 V,379.42
Kepler-252 c,Kepler-252,295.579,44.546,5.270,2.150,10.85,499,Transit,2014,M0 V,379.42
Kepler-1894 b,Kepler-1894,295.586,49.667,1.870,1.201,2.76,1231,Transit,2021,,935.19
Kepler-1894 c,Kepler-1894,295.586,49.667,1.920,1.210,5.05,1007,Transit,2023,,935.19
Kepler-1260 b,Kepler-1260,295.591,42.555,3.780,1.770,19.12,823,Transit,2016,,1734.43
Kepler-516 b,Kepler-516,295.609,38.736,27.900,5.740,24.86,1095,Transit,2016,,687.09
HD 331093 b,HD 331093,295.620,31.740,476.743,13.600,621.62,,Radial Velocity,2021,K0,50.19
Kepler-1236 b,Kepler-1236,295.625,42.546,5.220,2.140,31.06,480,Transit,2016,,999.64
Kepler-365 b,Kepler-365,295.627,49.130,4.820,2.040,10.67,865,Transit,2014,,1038.99
Kepler-365 c,Kepler-365,295.627,49.130,3.330,1.640,17.78,729,Transit,2014,,1038.99
Kepler-1237 b,Kepler-1237,295.629,44.691,8.550,2.860,84.57,366,Transit,2016,,1064.31
Kepler-466 b,Kepler-466,295.649,48.496,8.500,2.850,51.08,503,Transit,2016,,530.12
Kepler-466 c,Kepler-466,295.649,48.496,2.100,1.250,3.71,1206,Transit,2016,,530.12
Kepler-713 b,Kepler-713,295.651,43.030,6.710,2.480,7.41,905,Transit,2016,,1089.87
Kepler-1131 b,Kepler-1131,295.651,49.261,3.150,1.590,3.53,1159,Transit,2016,,1030.70
Kepler-1090 b,Kepler-1090,295.663,44.526,5.690,2.250,198.68,297,Transit,2016,,858.77
